Date,Open,High,Low,Close,Adj Close,Volume
2015-09-24,35350.000000,35950.000000,34900.000000,35000.000000,35000.000000,111807
2015-09-25,35250.000000,35550.000000,34450.000000,35500.000000,35500.000000,23934
2015-09-30,34400.000000,34850.000000,34000.000000,34300.000000,34300.000000,224431
2015-10-01,34350.000000,36750.000000,34350.000000,35550.000000,35550.000000,53903
2015-10-02,35950.000000,37850.000000,35800.000000,36000.000000,36000.000000,122492
2015-10-05,36300.000000,37050.000000,36300.000000,36500.000000,36500.000000,40464
2015-10-06,37200.000000,37200.000000,36250.000000,36800.000000,36800.000000,21066
2015-10-07,37150.000000,37150.000000,35950.000000,36000.000000,36000.000000,15901
2015-10-08,36100.000000,36750.000000,34350.000000,34550.000000,34550.000000,49316
2015-10-12,34850.000000,35000.000000,34400.000000,34650.000000,34650.000000,16357
2015-10-13,34650.000000,35150.000000,34050.000000,34050.000000,34050.000000,17288
2015-10-14,34200.000000,35500.000000,34000.000000,35500.000000,35500.000000,20360
2015-10-15,35400.000000,36150.000000,34700.000000,35950.000000,35950.000000,33530
2015-10-16,35700.000000,36600.000000,35500.000000,35750.000000,35750.000000,25375
2015-10-19,35750.000000,36000.000000,35350.000000,35900.000000,35900.000000,53573
2015-10-20,35900.000000,35950.000000,35150.000000,35500.000000,35500.000000,28644
2015-10-21,35700.000000,35700.000000,34200.000000,34500.000000,34500.000000,39677
2015-10-22,34400.000000,34400.000000,32950.000000,33300.000000,33300.000000,63408
2015-10-23,33550.000000,34150.000000,32950.000000,33050.000000,33050.000000,38691
2015-10-26,33600.000000,33650.000000,32950.000000,33100.000000,33100.000000,15218
2015-10-27,33100.000000,33150.000000,31500.000000,32800.000000,32800.000000,81426
2015-10-28,32800.000000,33800.000000,32100.000000,33700.000000,33700.000000,44325
2015-10-29,33700.000000,34050.000000,33500.000000,33500.000000,33500.000000,28940
2015-10-30,33300.000000,33600.000000,32700.000000,33250.000000,33250.000000,21317
2015-11-02,33350.000000,33600.000000,32900.000000,33600.000000,33600.000000,19629
2015-11-03,34050.000000,34600.000000,33750.000000,34050.000000,34050.000000,32115
2015-11-04,34400.000000,34400.000000,33800.000000,34150.000000,34150.000000,33286
2015-11-05,34300.000000,34750.000000,33700.000000,33750.000000,33750.000000,43903
2015-11-06,33850.000000,34050.000000,31850.000000,33300.000000,33300.000000,44460
2015-11-09,33250.000000,34100.000000,33250.000000,33800.000000,33800.000000,29792
2015-11-10,33500.000000,33750.000000,31950.000000,33200.000000,33200.000000,51746
2015-11-11,33200.000000,33800.000000,32600.000000,33500.000000,33500.000000,13651
2015-11-12,33200.000000,36500.000000,32700.000000,35750.000000,35750.000000,58905
2015-11-13,35100.000000,35700.000000,33950.000000,35100.000000,35100.000000,53032
2015-11-16,34500.000000,35350.000000,34200.000000,34250.000000,34250.000000,26386
2015-11-17,34700.000000,34950.000000,34500.000000,34500.000000,34500.000000,12135
2015-11-18,34300.000000,34950.000000,34250.000000,34400.000000,34400.000000,17261
2015-11-19,34900.000000,35050.000000,34400.000000,34550.000000,34550.000000,20914
2015-11-20,34600.000000,35700.000000,34550.000000,35300.000000,35300.000000,53233
2015-11-23,35700.000000,36850.000000,35700.000000,36450.000000,36450.000000,89267
2015-11-24,36600.000000,36850.000000,36200.000000,36300.000000,36300.000000,119787
2015-11-25,35900.000000,36550.000000,35300.000000,35550.000000,35550.000000,48837
2015-11-26,36000.000000,37100.000000,35550.000000,36400.000000,36400.000000,39870
2015-11-27,36450.000000,36950.000000,36100.000000,36300.000000,36300.000000,33321
2015-11-30,36350.000000,36350.000000,35300.000000,35300.000000,35300.000000,32689
2015-12-01,35300.000000,35850.000000,35000.000000,35300.000000,35300.000000,21314
2015-12-02,35300.000000,35700.000000,34300.000000,34850.000000,34850.000000,44633
2015-12-03,34850.000000,34850.000000,33800.000000,34150.000000,34150.000000,50660
2015-12-04,34000.000000,34550.000000,33650.000000,34150.000000,34150.000000,20011
2015-12-07,34300.000000,34600.000000,33950.000000,34550.000000,34550.000000,22997
2015-12-08,34800.000000,35550.000000,34200.000000,35100.000000,35100.000000,36282
2015-12-09,35200.000000,35550.000000,34500.000000,35200.000000,35200.000000,22504
2015-12-10,35400.000000,36400.000000,35150.000000,36200.000000,36200.000000,48037
2015-12-11,36250.000000,36250.000000,34200.000000,34400.000000,34400.000000,74983
2015-12-14,33800.000000,33850.000000,32700.000000,32800.000000,32800.000000,48056
2015-12-15,33400.000000,33400.000000,32500.000000,33050.000000,33050.000000,55297
2015-12-16,33000.000000,33850.000000,32750.000000,32750.000000,32750.000000,39013
2015-12-17,33100.000000,34700.000000,33100.000000,34600.000000,34600.000000,52086
2015-12-18,34450.000000,36900.000000,34250.000000,36350.000000,36350.000000,147713
2015-12-21,36400.000000,37850.000000,36350.000000,36900.000000,36900.000000,122629
2015-12-22,37500.000000,37750.000000,36200.000000,37450.000000,37450.000000,63646
2015-12-23,37700.000000,38750.000000,37100.000000,37550.000000,37550.000000,87934
2015-12-24,37550.000000,38050.000000,36850.000000,37100.000000,37100.000000,38726
2015-12-28,37200.000000,38000.000000,37150.000000,38000.000000,38000.000000,52313
2015-12-29,38400.000000,38850.000000,37450.000000,38050.000000,38050.000000,29675
2015-12-30,38650.000000,39300.000000,38050.000000,38650.000000,38650.000000,30238
2016-01-04,38600.000000,38650.000000,37500.000000,37750.000000,37750.000000,25437
2016-01-05,37100.000000,38550.000000,36850.000000,38000.000000,38000.000000,36345
2016-01-06,38200.000000,38450.000000,37400.000000,37650.000000,37650.000000,37954
2016-01-07,38250.000000,39850.000000,36950.000000,38600.000000,38600.000000,58579
2016-01-08,38550.000000,39600.000000,38150.000000,39050.000000,39050.000000,52958
2016-01-11,39450.000000,39450.000000,38050.000000,38400.000000,38400.000000,41183
2016-01-12,38750.000000,39600.000000,37900.000000,39500.000000,39500.000000,61623
2016-01-13,39400.000000,40000.000000,39100.000000,39300.000000,39300.000000,51879
2016-01-14,39050.000000,39700.000000,38700.000000,38950.000000,38950.000000,35839
